日付,できごと,関連ポケモン,関連リンク,プロパティ
2005/10/20,ポケモントローゼ発売日,,https://www.nintendo.co.jp/ds/aptj/index.html,
2005/11/17,救助隊発売日,サーナイト,https://www.nintendo.co.jp/ds/aphjb24j/index.html,
2005/11/23,Wi-Fiコネクションサービス開始日,,https://web.archive.org/web/20130128165617/http://wifi.nintendo.co.jp/,
2005/11/25,ダブルスロットデータ破壊バグの日,,https://www.nintendo.co.jp/ds/aphjb24j/oshirase/,
2006/3/2,DSライト発売日,,https://www.nintendo.co.jp/ds/series/dslite/index.html,
2006/3/23,ポケモンレンジャー発売日,レックウザ,https://www.nintendo.co.jp/ds/argj/index.html,
2006/4/1,ポケモンwiki開設日,ゼニガメ,https://wiki.ポケモン.com/wiki/メインページ,
2006/7/15,蒼海の王子上映開始日,マナフィ,https://www.pokemon-movie.jp/history/history2006/,
2006/9/28,ダイパ発売日,ビッパ,https://www.nintendo.co.jp/ds/adaj/index.html,
2006/10/27,なぞのばしょバグの日,シェイミ,https://www.nintendo.co.jp/ds/adaj/info/index.html,
2006/12/2,Wii発売日,,https://www.nintendo.co.jp/wii/,
2006/12/14,バトレボ発売日,メタグロス,https://www.nintendo.co.jp/wii/rpbj/index.html,
2007/7/14,ディアルガVSパルキアVSダークライ上映開始日,ダークライ,https://www.pokemon-movie.jp/history/history2007/,
2007/7/14,バトリオ稼働開始日,,https://web.archive.org/web/20070707192127/http://battrio.com/index.html,
2007/9/13,時と闇の探検隊発売日,ジュプトル,https://www.nintendo.co.jp/ds/yftj_yfyj/index.html,
2007/10/16,ポケモンファン販売開始日,,http://www.corocoro.tv/coro1/pokefan/,
2008/1/31,スマブラX発売日,フシギソウ,https://www.smashbros.com/wii/jp/index.html,
2008/2/20,だいすきNOW放送開始日,,https://www.bs-tvtokyo.co.jp/pmdn/,
2008/3/20,バトナージ発売日,ダークライ,https://www.nintendo.co.jp/ds/yp2j/index.html,
2008/3/25,ポケモン牧場発売日,,https://www.pokemon.co.jp/special/bokujou/,
2008/7/19,氷空の花束上映開始日,シェイミ,https://www.pokemon-movie.jp/history/history2008/,
2008/9/13,プラチナ発売日,ギラティナ(オリジンフォルム),https://www.nintendo.co.jp/ds/cpuj/index.html,
2008/11/1,DSi発売日,,https://www.nintendo.co.jp/ds/series/dsi/index.html,
2009/4/18,空の探検隊発売日,マナフィ,https://www.pokemon.co.jp/special/dungeon_sora/,
2009/6/16,スクランブル発売日,ミュウツー,https://www.pokemon.co.jp/special/pokemonscramble/,
2009/7/18,超克の時空上映開始日,アルセウス,https://www.pokemon-movie.jp/history/history2009/,
2009/8/4,冒険団発売日,,https://web.archive.org/web/20090718105343/http://www.pokemon.co.jp/special/dungeon_boukendan,
2009/8/23,WCSはじまりの日,シェイミ(スカイフォルム),http://murasaki-labs.org/library/wcs2009.htm,
2009/9/12,HGSS発売日,ラプラス,https://www.nintendo.co.jp/ds/ipkj/index.html,
2009/11/23,マンダ記念日,ボーマンダ,https://www.nicovideo.jp/watch/sm8891090,
2009/12/5,ポケパークwii発売日,ミュウ,https://www.pokemon.co.jp/special/pokeparkwii/,
2010/3/6,光の軌跡発売日,セレビィ,https://www.nintendo.co.jp/ds/b3rj/index.html,
2010/7/10,幻影の覇者上映開始日,ゾロアーク,https://www.pokemon-movie.jp/history/history2010/,
2010/9/18,BW発売日,シャンデラ,https://www.pokemon.co.jp/series/bw/,
2010/9/18,PGL開設日,,https://www.pokemon-gl.com,
2010/10/3,ポケスマ放送開始日,ミジュマル,https://web.archive.org/web/20130911195240/http://www.tv-tokyo.co.jp/anime/pokemon_smash/index2.html,
2011/2/26,3DS発売日,ランドロス(れいじゅうフォルム),https://www.nintendo.co.jp/hardware/3dsseries/index.html,
2011/2/26,3DSオンラインサービス開始日,,https://w.wiki/6PFn,
2011/3/11,POKEMON with YOUの日,ビクティニ,https://www.pokemon-foundation.or.jp,記念日
2011/3/24,PTCGO開設日,,https://www.pokemon.com/us/pokemon-tcg/play-online,
